slotA,slotB,size,payload_compared,payload_diff,payload_diff_ratio,equal_prefix
285,330,439,383,300,0.783290,32
345,355,439,383,356,0.929504,32
185,330,439,383,357,0.932115,32
330,355,439,383,357,0.932115,32
185,285,439,383,358,0.934726,32
225,345,439,383,359,0.937337,32
285,345,439,383,359,0.937337,32
225,355,439,383,359,0.937337,32
285,355,439,383,359,0.937337,32
35,50,635,579,545,0.941278,32
330,345,439,383,362,0.945170,32
185,355,439,383,363,0.947781,32
225,410,439,383,363,0.947781,32
355,410,439,383,363,0.947781,32
510,545,439,383,364,0.950392,32
185,345,439,383,364,0.950392,32
265,285,439,383,364,0.950392,32
345,410,439,383,365,0.953003,32
300,310,439,383,365,0.953003,32
225,285,439,383,365,0.953003,32
185,265,439,383,365,0.953003,32
265,330,439,383,366,0.955614,32
125,410,439,383,366,0.955614,32
225,545,439,383,366,0.955614,32
50,70,635,579,554,0.956822,32
185,225,439,383,367,0.958225,32
130,135,439,383,367,0.958225,32
35,70,635,579,556,0.960276,32
225,330,439,383,368,0.960836,32
125,345,439,383,368,0.960836,32
