slot,lenA,lenB,equal_prefix,payload_compared,payload_equal,payload_equal_ratio
75,102,16,0.156863
76,102,1,0.009804
77,102,1,0.009804
78,102,0,0.000000
79,102,17,0.166667
80,102,2,0.019608
81,102,0,0.000000
82,102,1,0.009804
83,102,12,0.117647
84,102,0,0.000000
85,102,1,0.009804
86,102,0,0.000000
87,102,7,0.068627
88,102,0,0.000000
89,102,1,0.009804
90,102,1,0.009804
91,102,10,0.098039
92,102,0,0.000000
93,102,0,0.000000
94,102,0,0.000000
95,102,2,0.019608
96,102,1,0.009804
97,102,0,0.000000
98,102,0,0.000000
99,102,2,0.019608
100,102,1,0.009804
101,102,0,0.000000
102,102,0,0.000000
103,102,1,0.009804
104,102,0,0.000000
105,102,0,0.000000
106,102,1,0.009804
107,102,1,0.009804
108,102,0,0.000000
109,102,1,0.009804
110,102,1,0.009804
111,102,2,0.019608
112,102,1,0.009804
113,102,0,0.000000
114,102,0,0.000000
115,102,0,0.000000
116,102,2,0.019608
117,102,0,0.000000
118,102,0,0.000000
119,102,1,0.009804
120,102,1,0.009804
121,102,0,0.000000
122,102,0,0.000000
123,102,0,0.000000
124,102,1,0.009804
125,102,1,0.009804
126,102,0,0.000000
127,102,0,0.000000
128,102,0,0.000000
129,102,0,0.000000
130,102,0,0.000000
131,102,0,0.000000
132,102,0,0.000000
133,102,1,0.009804
134,102,0,0.000000
135,102,0,0.000000
136,102,1,0.009804
137,102,0,0.000000
138,102,1,0.009804
139,102,1,0.009804
140,102,0,0.000000
141,102,1,0.009804
142,102,0,0.000000
143,102,0,0.000000
144,102,0,0.000000
145,102,1,0.009804
146,102,0,0.000000
147,102,1,0.009804
148,102,1,0.009804
149,102,1,0.009804
150,102,0,0.000000
151,102,0,0.000000
152,102,0,0.000000
153,102,0,0.000000
154,102,0,0.000000
155,102,1,0.009804
156,102,0,0.000000
157,102,0,0.000000
158,102,0,0.000000
159,102,0,0.000000
